id	filename	md5	size	state
1d36073f-4600-4355-82c9-b59e77873b86	1d36073f-4600-4355-82c9-b59e77873b86/unc.edu.cc92e983-2367-4353-ac01-88851fd0f71e.1266428.rsem.genes.results	e44061320d54e2cc3de8fb356aa8b800	1518223	validated
1d757026-28bb-4c67-a31c-3fff7eaa3881	1d757026-28bb-4c67-a31c-3fff7eaa3881/unc.edu.e88bcf68-e904-4511-92f6-01cbd0da62de.1131298.rsem.genes.results	a42cded361184666b9e41053205e72af	1518865	validated
1d816afc-42e9-4917-9bb9-56cbee9989cc	1d816afc-42e9-4917-9bb9-56cbee9989cc/unc.edu.2d5351f1-e9d7-44a3-ae43-f595a0151516.2319201.rsem.genes.results	7850b5704a56fa7b03c4d34a4375cf29	1528210	validated
1deec773-b8d0-4120-a28a-519279a38888	1deec773-b8d0-4120-a28a-519279a38888/unc.edu.4eaae575-d631-4e2e-8e70-4b4e0a429d74.1149086.rsem.genes.results	a7b6c2f275ef2739613146b26e453c45	1515020	validated
1e46cf46-d72c-4f18-9d2b-919914f9c4a8	1e46cf46-d72c-4f18-9d2b-919914f9c4a8/unc.edu.a09baab9-3eac-4271-9c12-2684642f8869.1173899.rsem.genes.results	0c3fa6bfe46159f2a9ae9b085e01fd7d	1512877	validated
1ec8df2e-b9a6-4c86-a18e-68d20647c380	1ec8df2e-b9a6-4c86-a18e-68d20647c380/unc.edu.1a77082d-f130-436b-9028-23c8dd9dc565.1129974.rsem.genes.results	c796e0ce63dda598b36c18a3a01a8950	1516531	validated
20645cbb-4813-4012-9db7-62647bd96f9f	20645cbb-4813-4012-9db7-62647bd96f9f/unc.edu.4018d26c-0ce0-4c5a-9ce4-200bb4273349.1140649.rsem.genes.results	22ac708754b19c4b4524a9ce05a82e43	1504531	validated
2109ff51-4828-4f7a-8fd3-c14842c5b2c8	2109ff51-4828-4f7a-8fd3-c14842c5b2c8/unc.edu.229ebbe9-4dc8-434f-998c-fc0660cd2b00.1153690.rsem.genes.results	9d182203431f2acbc285e24db29cbcd5	1517364	validated
2134e33b-2be8-463d-a723-bfd362e37f3d	2134e33b-2be8-463d-a723-bfd362e37f3d/unc.edu.3264f809-4bbf-48e6-bbfd-77eaca9e602e.1144451.rsem.genes.results	28b470e6f8496009748c694c3edf7286	1508861	validated
23e3f8b0-e21a-4ec5-ab73-583535404e8d	23e3f8b0-e21a-4ec5-ab73-583535404e8d/unc.edu.2522bd3d-f6b3-45df-b68f-577ffbf3a819.1117445.rsem.genes.results	c202aa9e16b7963e7603cd3146e4199d	1515268	validated
