mRNA	logFC	FDR	Sub-0	Sub-1	Delta
HIST1H2BN	0.3325308644254915	0.0330745711490888	25.543589743589745	31.107784431137723	8.494031977966017
TTC12	-0.0329694582087866	0.7277064206587112	257.5897435897436	249.7005988023952	8.492594286294107
MGC21881	-0.09172886140472868	0.45559513568602	92.53333333333333	89.50299401197604	8.487977308650894
TTC32	0.04771810804293143	0.6694666598370125	176.35384615384615	175.91017964071855	8.415271884555738
BGLAP	-0.07198949223162279	0.5820524019346939	116.85641025641026	106.1437125748503	8.412433638369173
LOC401093	-0.17736027722613645	0.11999408803428051	47.15384615384615	42.56287425149701	8.363219226124741
LCA5L	-0.20627452004455635	0.04820825929445736	40.48717948717949	35.51497005988024	8.351473516675757
C14orf33	-0.13649943304983092	0.1918408366610276	61.01538461538462	55.05988023952096	8.328565407317376
MAGEA11	0.2741944373892666	0.694193225188062	30.266666666666666	34.64670658682635	8.298951638315135
C17orf107	-0.03785155138368204	0.7563778650867389	218.77948717948718	207.4251497005988	8.281143000669966
AMIGO1	-0.06899640377154452	0.5801783092139325	119.73333333333333	113.7185628742515	8.261169411579598
ENOX1	0.2278547485042494	0.3363066730545922	36.246153846153845	40.35329341317365	8.258858268861717
TMEM133	0.04087252195296673	0.6992216814434965	201.3846153846154	207.06586826347305	8.231097113297453
C1orf220	-0.27580807428550663	0.05572840101388627	29.574358974358976	24.161676646706585	8.156846996946241
C1orf57	-0.005187517188953334	0.9546768847660111	1567.3435897435897	1506.2095808383233	8.130621812790695
OR2A4	-0.2082527387483667	0.23717489418092744	39.04102564102564	35.1497005988024	8.130400513288798
NUBP1	-0.009389133329824677	0.8789953326905141	864.8923076923077	842.4610778443114	8.120589192862825
KATNAL1	0.02344867807020467	0.8439401307220363	345.5282051282051	358.3293413173653	8.102179646226924
GKAP1	-0.02899538585977848	0.7245768965123901	278.85128205128206	272.1317365269461	8.085400520570845
NRG4	-0.27546201173861073	0.26183604251510695	29.328205128205127	23.149700598802394	8.078806385298025
COX4I2	0.11474982389306326	0.4465412291857435	70.36410256410257	74.73053892215569	8.074268377624211
STOX1	-0.10989610499778853	0.6366004940751936	73.21538461538462	69.69461077844312	8.04608559514578
SMAD1	0.009967527629303693	0.9228076189014758	805.6769230769231	809.9940119760479	8.030606991061617
EML6	-0.06947359531539671	0.6966308758430086	115.53333333333333	108.44311377245509	8.026516045438832
RAD51L1	-0.13562966765982098	0.2326840908538633	58.64102564102564	55.32934131736527	7.953462818923349
GAN	-0.2262044138731842	0.02145808604217275	35.04615384615385	29.64071856287425	7.927594689278672
GBP3	-0.0075106461383204195	0.962891582079044	1054.8820512820512	1021.9161676646706	7.9228458048450605
KIAA0664P3	-0.10061994964720727	0.4688982520048816	78.67179487179487	73.87425149700599	7.915952038655419
FAM122C	0.19596371830882445	0.058017883735424464	40.215384615384615	45.26347305389221	7.880756302450263
PDE2A	0.02254391967908035	0.8751568068876994	349.5128205128205	369.1077844311377	7.879388952449852
CYB5B	0.003060401072979176	0.9746493005623288	2552.102564102564	2500.083832335329	7.810457425532393
CLPB	0.008798730545017596	0.9094575717371379	887.0923076923077	893.4610778443114	7.805286183942456
TBX6	-0.18162119294838017	0.13744227899143108	42.97435897435897	37.49101796407186	7.805054343115003
LOC440957	0.013171697181196798	0.9098574873492131	588.1641025641026	577.0359281437126	7.747119451824735
ZBED3	-0.06770895882616242	0.6299892076623637	114.29230769230769	105.82035928143712	7.738613155685547
